Aar;Olje;Kondensat;NGL;Gass;Sum oljeekvivalenter
1971;0,357118;0;0;0;0,357118
1972;1,92702;0;0;0;1,92702
1973;1,86952;0;0;0;1,86952
1974;2,014168;0;0;0;2,014168
1975;10,995331;0;0;0;10,995331
1976;16,226786;0;0;0;16,226786
1977;16,642542;0,002345;0;2,6549;19,299787
1978;20,644427;0,020661;0;14,200745;34,865833
1979;22,477875;0,044001;1,127607;20,669725;44,319208
1980;28,22123;0,048227;2,439963;25,088317;55,797737
1981;27,484517;0,04845;2,168221;24,951122;54,65231
1982;28,528304;0,043153;2,285896;23,960037;54,81739
1983;35,645491;0,04132;2,679694;23,612572;61,979077
1984;41,093054;0,063753;2,642282;25,962595;69,761684
1985;44,757874;0,075506;2,967692;26,185654;73,986726
1986;48,771114;0,061123;3,845358;26,089703;78,767298
1987;56,959121;0,054545;4,116558;28,150886;89,28111
1988;64,723013;0,047345;4,845675;28,32957;97,945603
1989;85,983234;0,05277;4,897912;28,737731;119,671647
1990;94,542213;0,048312;5,011442;25,479451;125,081418
1991;108,509919;0,057227;4,897442;25,027012;138,4916
1992;123,999034;0,05378;4,959232;25,833659;154,845705
1993;131,843462;0,474221;5,51794;24,803848;162,639471
1994;146,28226;2,402937;7,122064;26,841608;182,648869
1995;156,775901;3,178058;7,941658;27,8136;195,709217
1996;175,50134;3,784108;8,232092;37,397943;224,915483
1997;175,913798;5,375701;8,073594;42,944723;232,307816
1998;168,743746;5,047382;7,38969;44,194564;225,375382
1999;168,689716;5,51249;6,992057;48,470793;229,665056
2000;181,180567;5,410687;7,225369;49,795949;243,612572
2001;180,884453;5,665544;10,923947;54,03649;251,510434
2002;173,649118;7,323184;11,798178;65,593895;258,364375
2003;165,475166;10,33862;12,931471;72,959941;261,705198
2004;162,777562;8,674681;13,642884;79,310761;264,405888
2005;148,136741;7,951656;15,805871;85,842598;257,736866
2006;136,577455;7,625019;16,695619;88,668296;249,566389
2007;128,275976;3,126045;16,628961;90,309725;238,340707
2008;122,638446;3,923854;16,94187;100,079415;243,583585
2009;114,959038;4,439725;16,961478;104,246071;240,606312
2010;104,394082;4,171149;15,550381;106,997868;231,11348
2011;97,43552;4,583334;16,314038;101,266388;219,59928
2012;89,182483;4,574854;17,798865;114,722946;226,279148
2013;84,927152;3,99116;17,718271;108,745994;215,382577
2014;87,748974;2,912421;18,802242;108,303415;217,767052
2015;90,853732;2,468274;19,606209;117,008441;229,936656
2016;93,933001;1,933167;20,309446;116,766681;232,942295
2017;92,278252;1,707402;20,394772;124,664204;239,04463
2018;86,163238;1,714225;19,456559;122,203392;229,537414
2019;81,498238;1,655499;17,37488;115,110762;215,639379
2020;97,915173;1,282324;16,766579;112,268845;228,232921
2021;16,80921;0,121546;2,841288;19,22576;38,997804
